SMILES,CP
*CC(*)c1ccc(/C(C)=N/O)cc1,1320.12
*CC(*)c1ccc(C(C)(C)O)cc1,1414.97
*CC(*)c1ccc(C(C)(O)CC)cc1,1446.2
*CC(*)c1ccc(C(C)(O)CCC)cc1,1472.82
*CC(*)c1ccc(C(C)(O)CCCC)cc1,1495.79
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,1515.81
*CC(*)c1ccc(C(O)CCN(C)C)cc1,1493.68
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,1476.68
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,1467.44
*CC(*)c1ccc(COC)cc1,1435.4
*CC(*)c1ccc(COCCO)cc1,1426.82
*CC(*)c1ccc(COCCC)cc1,1494.6
*CC(*)c1ccc(COCCCC)cc1,1517.65
*CC(*)c1ccc(COCCCCO)cc1,1478.57
*CC(*)c1ccc(COC(C)CC)cc1,1519.44
*CC(*)c1ccc(COCCCCCC)cc1,1554.88
*CC(*)c1ccc(COCCOCCCC)cc1,1559.58
*CC(*)c1ccc(C(=O)N(C)C)cc1,1396.73
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,1453.39
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,1395.4
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,1442.89
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,1385.62
*CC(*)c1ccc(C(=O)OC)cc1,1324.21
*CC(*)c1ccc(C(=O)OCC)cc1,1362.67
*CC(*)c1ccc(C(=O)OCCC)cc1,1395.45
*CC(*)c1ccc(C(=O)OC(C)C)cc1,1397.24
*CC(*)c1ccc(C(=O)OCCCC)cc1,1423.74
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,1425.4
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,1470.06
*CC(*)c1ccc(C(=O)CC)cc1,1357.31
*CC(*)c1ccc(C(=O)CCC)cc1,1393.54
*CC(*)c1ccc(C(=O)CCCC)cc1,1424.38
*CC(*)c1ccc(C(=O)CCCCC)cc1,1450.93
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,1494.34
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,1232.32
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,1193.59
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,1246.67
*CC(*)c1ccc(F)cc1,1299.04
*CC(*)c1ccc(I)cc1,1157.64
*CC(*)c1ccc(N(C)C)cc1,1453.87
*CC(*)c1ccc(OC)cc1,1396.51
*CC(*)c1ccc(OCC)cc1,1435.4
*CC(*)c1ccc(OCCC)cc1,1467.56
*CC(*)c1ccc(OCCCC)cc1,1494.6
*CC(*)c1ccc(OCCC(C)C)cc1,1519.44
*CC(*)c1ccc(Oc2ccccc2)cc1,1242.53
*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,1181.49
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,1271.76
*CC(*)c1c(Cl)cccc1Cl,1011.69
*CC(*)c1ccc(C)cc1C,1451.86
*CC(*)c1ccc(C(C)C)cc1C(C)C,1561.39
*CC(*)c1ccc(F)cc1C,1389.52
*CC(*)c1ccc(Cl)cc1C,1202.33
*CC(*)c1ccc(Cl)cc1Cl,1011.69
*CC(*)c1cc(C)ccc1C,1451.86
*CC(*)c1cc(C(C)(C)C)ccc1C,1544.75
*CC(*)c1cc(C(C)C)ccc1C(C)C,1561.39
*CC(*)c1cc(Cl)ccc1Cl,1011.69
*CC(*)c1cc(F)ccc1F,1330.71
*CC(*)c1cc(C)ccc1F,1389.52
*CC(*)c1cc(Br)ccc1OCCCC,1319.51
*CC(*)c1cc(Br)ccc1OCC,1259.25
*CC(*)c1cc(Br)ccc1OC,1223.17
*CC(*)c1cc(Br)ccc1OCCC,1291.13
