SMILES,ALPHA
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCO*)cc1,34.943
*CCCCCCCCCCCNC(=O)c1ccc(C(=O)N*)cc1,37.035
*Oc1ccc(C(c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)c2ccccc2C(=O)O)cc1,51.411
*CCCCCCCCCCNC(=O)Cc1ccc(CC(=O)N*)cc1,38.229
*CCCCCCCCCCCCNC(=O)c1cccc(C(=O)N*)c1,38.952
*CC(O)COc1c(C)cc(C(C)(C)c2cc(C)c(O*)c(C)c2)cc1C,40.707
*CCCCCC(=O)OCCCCCCOC(=O)c1ccc(O*)cc1,35.746
*c1ccc(-c2cc(CCCCCCCCCCCC)c(*)s2)s1,40.924
*c1ccc2c(c1)C(=O)N(C1CCC(N3C(=O)c4ccc(C(*)(C(F)(F)F)C(F)(F)F)cc4C3=O)CC1)C2=O,46.979
*Oc1ccc(C(*)=O)cc1CCCCCCCCCCCCCC,38.539
*CCCCc1ccc(CCCCOC(=O)c2ccc(C(=O)O*)cc2)cc1,41.078
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,37.84
*CCCCCCCNC(=O)CCCCCCCCC(=O)N*,33.519
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCC(*)=O)cc2)cc1,41.422
*CCCCCCCCCCCNC(=O)CCCCC(=O)N*,33.564
*CC(*)CCCCCCCCCCCCCCCC,32.157
*Oc1ccc(/N=N/c2ccc(OC(=O)CC(C)CCC(*)=O)cc2C)c(C)c1,45.634
*CCCCCCCCNC(=O)CCCCCCCCC(=O)N*,35.486
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,59.106
*CCCCCCNC(=O)c1ccc(C(C)(C)c2ccc(C(=O)N*)cc2)cc1,43.678
*Oc1c(C)cc(*)cc1C(C)CCCCCCCCCCCC,37.725
*CC(*)(C)C(=O)OCCN(CC)c1ccc(/N=N/c2ccc(OC)cc2)c(C)c1,50.886
*CC(*)C(=O)OCCCCCCCCCCCCCCCC,34.983
*CCOC(=O)N(Cc1ccccc1)c1ccc(C)c(N(Cc2ccccc2)C(=O)O*)c1,45.821
*c1cc(CCCCCCCCCCCCCCCC)c(*)[nH]1,35.948
*CCCCCC(*)CCCCCCCCCCCC,32.07
*Oc1ccc(C(CCC)(CCC)c2ccc(OC(*)=O)c(C)c2)cc1C,40.076
*CC(*)(C)C(=O)OCCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1,46.394
*Oc1ccc(C2(c3ccc(OC(=O)CCC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,51.18
*/C=C/C(=O)c1cccc(C(=O)/C=C/Nc2ccc(Cc3ccc(N*)cc3)cc2)c1,50.678
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCO*)cc1,36.718
*CCCCCCCCCCNC(=O)CC/C=C/CCC(=O)N*,35.909
*CCCCOC(=O)NC1CCC(CC2CCC(NC(=O)O*)CC2)CC1,36.957
*CC(*)C(=O)NCCCCCCCCCCCCCCCC,35.605
*Oc1ccc(C(CC)(c2ccccc2)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,52.576
*CC(*)C(=O)OCCCCCCCCCCOc1ccc(C(=O)O)cc1,38.391
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(C)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc1)C2=O,59.253
*CCCCCCCCCCCCCCCCCCOCO*,35.386
*CCCCCCNC(=O)c1ccc(C(C)c2ccc(C(=O)N*)cc2)cc1,42.441
*CC(*)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(C#N)cc2)cc1,44.873
*CCN(*)C(=O)CCCCCCCCCCCCCCC,33.973
*CC1CCC(COC(=O)CCCCCCCCCCC(=O)O*)CC1,36.641
*CC(*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,41.552
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCO*)cc1,40.793
*C(=O)N(*)CCCCCCCCCCCCCCCCCC,35.652
*c1ccc(C(=O)NC2CCC(NC(=O)c3ccc(C4(*)OC(=O)c5ccccc54)cc3)CC2)cc1,51.996
*c1sc(*)c(OCCCCCCCCCCCCCCCC)c1C,40.688
*CCCCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,38.05
*Cc1ccc(CN(C)C(=O)CCCCCCCCC(=O)N(*)C)cc1,38.728
*c1nc(-c2ccccc2)nc(N(c2ccccc2)c2ncnc(N(*)c3ccccc3)n2)n1,52.445
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCO*)cc1,39.276
*CCCCCCCCCCCCNC(=O)CCCCC(=O)N*,34.814
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCO*)cc1,39.298
*c1ccc(-c2ccc(-c3ccc(C(*)(c4ccc(N(C)C)cc4)C(F)(F)F)cc3)cc2)cc1,53.209
*Oc1ccc(C(CCCCC)(CCCCC)c2ccc(OC(*)=O)cc2)cc1,42.883
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCC(*)=O)cc2)cc1,42.936
*CCCCCNC(=O)CCCCCCCCCCCC(=O)N*,35.359
*CCCCCC(*)CCCCCCCCCCCCCC,35.91
*CCCCC(=O)NCCc1ccc(CCNC(=O)CCCCS*)cc1,42.318
*/C=C/c1cc(OCC(CC)CCCC)c(*)cc1-c1ccc(F)c(C(F)(F)F)c1,42.057
*CC(C)(C)COC(=O)NC1CCC(CC2CCC(NC(=O)O*)CC2)CC1,38.965
*CCCCCCCCCCNC(=O)CCCCCCC(=O)N*,35.419
*CCc1ccc(CCNC(=O)CCCCCCCCCCC(=O)N*)cc1,42.322
*Oc1ccc(C2(c3ccc(OC(=O)CCC(*)=O)cc3)c3ccccc3C(=O)c3ccccc32)cc1,52.822
*c1ccc(Cc2ccc(N3C(=O)CC(Nc4cccc(NC5CC(=O)N(*)C5=O)c4)C3=O)cc2)cc1,53.458
*Oc1ccc(C2(c3ccc(OC(=O)CCCC(*)=O)cc3)c3ccccc3-c3ccccc32)cc1,53.145
*c1ccc(N2C(=O)CC(Nc3ccc(Cc4ccc(NC5CC(=O)N(*)C5=O)cc4)cc3)C2=O)cc1,53.568
*Oc1ccc(C(C)(CCC(=O)OCC)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,50.038
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCS*)cc1,41.044
*CCNC(=O)CCCCCCCCCCCCCCC(=O)N*,35.326
