SMILES,MU
*CCN(*)C(=O)CSC,3.4781875
*CC(*)c1cc(Cl)ccc1Cl,0.66852805
*CCc1cc(Cl)c(*)cc1Cl,0.663903014
*c1ccc(C(Cl)(Cl)C(*)Cl)cc1,2.079526293
*C(=O)N(*)c1cccc(C)c1,3.022777515
*CC(*)C(=O)OCCC#N,4.716092018
*C(=O)N(*)Cc1ccccc1,3.528867363
*CC(*)c1ccc(C#C)cc1,1.154506895
*/C=C(/*)c1ccccc1C(F)(F)F,2.617922247
*CC(*)CC(C)C(F)(F)F,2.465608423
*c1ccc(N(*)CC)cc1,2.062426405
*CC(*)(C)C(=O)OCC,1.672058147
*CC(*)(C)C(=O)OCCF,1.73015715
*CC(C)(C)CS(*)(=O)=O,4.779494976
*CCCCCC(=O)O*,1.329630101
*CC(*)Cc1ccccc1,0.31891682
*CC(*)(Cl)C(=O)OCCC,2.28194057
*CCN(*)C(=O)c1ccsc1,3.634381168
*CC(*)C1CCCC1,0.120426227
*CC1(*)CCCCC1,0.09477272
*/C=C/CCCCC*,0.339575062
*/C=C(/*)c1ccc(OC)cc1,1.461870245
*CCCC(*)(C)C(=O)O,1.668572723
*CC(*)c1ccc(Cl)c(Cl)c1,3.311680243
*CC(*)c1ccc(C=O)cc1,3.580715836
*CC(*)(Cl)C(=O)OC(C)C,2.198148295
*C(c1ccccc1)C(*)(C#N)C#N,4.583060871
*CC(*)(C)c1ccccc1,0.277471058
*CCC1CCCC1*,0.03870858
*CC/C=C(/*)CCC,0.191473713
*CC/C=C(/*)C(C)C,0.126686544
*CC(*)(CF)C(=O)OCC,1.830905685
*CC(*)(C)C(=O)OCCCl,1.898839645
*CC(*)c1ccccc1C,0.539298264
*/C=C(/*)c1ccc(NC=O)cc1,3.315688935
*/C=C/c1ccc(*)c(OC)c1,1.251482479
*CC(*)c1ccc(C)cc1,0.066846696
*Cc1cc(C)c(*)cc1C,0.371162327
*/C=C/C(C*)CCC,0.205161752
*CC(*)c1ccc(Cl)cc1C,2.615819022
*CCC1CCC(*)C1,0.052295347
*CC(*)C(=O)NC(C)C,3.434306837
*C(=O)N(*)c1ccc(OC)cc1,2.307714111
*CC(*)c1ccc(F)cc1C,2.083549956
*CC(*)c1cc(C)ccc1F,1.593039729
*CC(*)c1ccc(Cl)c(C)c1,2.092987667
*CC(*)OC(=O)c1ccccc1,1.7449558
*/C=C/c1ccc(-c2ccc(*)s2)s1,0.050169926
*CC(*)n1cc2ccccc2n1,2.758050679
*CC(*)S(=O)c1ccc(F)cc1,3.463502804
*CC(=O)C(*)c1ccc(F)cc1,2.473930526
*CC(*)C1CC=CCC1,0.25352415
*CC(*)(C)c1ccc(F)cc1,1.874362811
*CC(*)c1cccc(C)c1,0.313881669
*Cc1ccc(C(=O)N*)cc1,3.7101362
*Nc1cc(*)ccc1CC,1.534481902
*CCCCCC(=O)N*,3.494475619
*CC(*)C(=O)OCCSC,2.143873251
*CC(*)S(=O)c1ccc(Cl)cc1,3.397415247
*CC(*)CCCCC,0.05920802
*CC(*)C(=O)c1ccccc1O,3.216143827
*CCc1ccc(C(=O)O*)cc1,2.248998038
*Nc1cc(C)c(*)cc1OC,1.24974852
*CC(*)C(=O)Oc1ccccc1Cl,1.86141963
*CC(*)(C)C(=O)OCCC#N,3.244295405
*CCCCSCCS*,2.152809835
*Nc1cc(C)c(*)cc1C,1.474455342
*C1CCCCC1S(*)(=O)=O,5.210990405
*c1cc(CCCC)c(*)s1,0.760961997
*C(F)(F)C(F)(F)C1(F)C(*)(F)OC(F)(F)C1(F)F,2.903383198
*CC(*)c1ccccc1OC,1.340907137
*CC/C=C(/*)c1ccccc1,0.324176757
*CC(*)CC(C)(C)C,0.055973437
*/C=C/C(*)(C)c1ccccc1,0.199499142
*CCCC(*)(C)CC,0.09413857
*CC(*)CCC(C)C,0.100525101
*CC(*)C(CC)CC,0.066038866
*CCC1CC(=O)N(*)C(=O)C1,3.332722458
*CC(*)OC(=O)c1ccc(C#N)cc1,4.559504038
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,3.042920158
*/C=C/c1cc(C)c(*)cc1C,0.209862926
*CC(*)CC(C)CC,0.094314877
*c1ccc(*)c(N(C)C)c1,1.662669338
*CC(*)(C)C(=O)OCC1CO1,3.152285828
*CC(c1ccccc1)S(*)(=O)=O,4.2865449
*CC(*)C(=O)OCCSCC#N,2.492892266
*CCCCCNC(=O)O*,2.160842967
*CC(*)C(=O)c1ccc(C)cc1,3.104645079
*CC(*)C(=O)OCCCC,1.558454989
*C1C(=O)N(c2ccccc2)C(=O)C1*,1.556576003
*c1ccc(-c2ccc(*)c(Cl)c2)cc1Cl,1.2125696
*Cc1cc(*)c(N)c(C)c1N,2.23610634
*CCN(*)C(=O)c1ccc(Cl)cc1,3.512354123
*CC(*)(Cl)C(=O)OCCCC,2.123873258
*CC(*)c1ccc(C=C)cc1,0.540754771
*CC(*)c1ccc(C(C)=O)cc1,3.266680929
*CC1(*)CCC(C)CC1,0.020589225
*OC(=O)CCCCCC(*)=O,1.183373457
*CC(*)(C)C(=O)OCC[N+](=O)[O-],2.594677339
*/C(CC)=C(/*)c1ccccc1,0.431350632
*CC(*)C1CCCCC1,0.061395861
*COC1CCC(O*)CC1,1.159249148
*CC(*)C(=O)Oc1ccc(Cl)cc1,2.917677214
*CC(*)C(=O)Oc1ccc(Cl)cc1Cl,2.571557083
*CC(*)CC1CCCC1,0.111411589
*CC(*)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,3.253766158
*CC(COc1ccccc1)O*,1.593183982
*CC(*)(CC)C(=O)OCC,1.627089659
*CCCCCCS(*)(=O)=O,5.056448866
*CC(*)CCc1ccccc1,0.402511431
*CC(*)(Cl)C(=O)OC(C)CC,2.164588893
*CCC(C)CCC(=O)O*,1.259603663
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.597269811
*CCOCCOC(=O)C(=O)O*,0.973009232
*/C=C/c1cc(OC)c(*)cc1C,1.261868134
*CC(*)(CC(=O)OC)C(=O)OC,0.412204046
*/C=C/CCCCCC*,0.373774959
*CCc1ccc(*)c(C(C)=O)c1,2.797596966
*CC(COc1ccc(Cl)cc1)O*,3.390134886
*c1ccc(C(C#N)(C#N)C(*)(C#N)C#N)cc1,6.430713025
*CC(*)C(=O)N1CCOCC1,2.726515511
*CC(*)C(C)c1ccccc1,0.324985458
*CC(*)C(=O)Oc1ccccc1,1.588541594
*CC(*)(C)C(=O)OC(C)C(F)(F)F,2.189092729
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,2.412424758
*CC(*)c1ccc(O)c(OC)c1,1.011149353
*CC(=O)C(*)c1cccc(C)c1,3.126958555
*CC(*)(C)c1ccc(C)cc1,0.079825837
*CC(*)c1ccccc1CC,0.481348503
*CC(*)c1ccc(C)cc1C,0.438709196
*c1cc(OCC)c(*)cc1OC,0.299915344
*CC(*)c1cc(C)ccc1C,0.253620768
*/C=C/C(C*)C(C)CC,0.260278348
*CC(COc1ccccc1Cl)O*,3.153078955
*OC(C)CCCCC(*)=O,3.889440205
*CC/C=C(/*)C(C)(C)C,0.209646007
*CC(*)c1ccc(S(=O)(=O)O)cc1,5.6378331
*CCS/C(=N\c1ccccc1)S*,2.884114366
*OC(*)CCCCCC,1.541708684
*Nc1ccc(*)cc1C(C)C,1.606086955
*Nc1ccc(*)cc1CCC,1.521627779
*/C=C/C(C)(C)C(*)(C)C,0.309569872
*CC(*)c1ccc(CC)cc1,0.025071326
*CC(*)c1cccc2ccccc12,0.43735833
*CC/C=C(/*)C(C)(C)C,0.209645259
*CC(*)C(=O)NCCCC,3.331685292
*CC(*)c1ccc(C(=O)OC)cc1,2.049161556
*CC(*)c1ccc(C)c(C)c1,0.369997237
*CC(*)C(=O)OCCCSC,1.547964498
*CC(*)c1cc(C)cc(C)c1,0.085719879
*CC(*)c1cccc(CC)c1,0.279743327
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,3.061530224
*CC(*)(C)C(=O)OCc1ccco1,1.1233932
*CC(*)(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,2.751528729
*CC(*)(C)C(=O)OCCOC,1.918171995
*CC(*)C(=O)NC(C)CC,3.385735749
*CCc1cc(*)c(C)cc1C,0.312373398
*CC(*)(C(=O)OC)c1ccccc1,1.724521114
*CC(*)c1ccccc1C(=O)OC,1.263410337
*CCCC1CC(=O)N(*)C(=O)C1,3.580754607
*CC(*)C(=O)OCc1ccccc1,1.517862814
*CCc1ccc(*)c2ccccc12,0.287032209
*CC(*)C(=O)NC(C)(C)C,3.370040239
*/C=C(/*)CNCc1ccccc1,0.983600527
*CC(*)(C)C(=O)Oc1ccccc1,1.459893939
*Nc1ccc(-c2ccc(*)cc2)cc1,2.362211296
*CC(*)CNc1ccc([N+](=O)[O-])cn1,6.37373259
*Cc1cc(C)c(C(=O)O*)cc1C,2.233101527
*CC(*)C(=O)Oc1ccc(C#N)cc1,5.548171129
*CCc1ccc(*)c(C(=O)OC)c1,1.54167736
*CC(*)(C#N)C(=O)OCCCC,3.143465656
*CCCCc1ccc(*)cc1,0.22241942
*C(=O)c1ccc(-c2ccc(*)cc2)cc1,3.498142095
*c1[nH]c(*)c2c1-c1cccc3cccc-2c13,2.69276458
*CC(*)C(=O)N1CCCCC1,3.87231017
*CCC/C=C(/*)c1ccccc1,0.334720815
*CC(*)c1ccccc1COC,1.250644614
*/C(OC)=C(\OC)c1ccc(*)cc1,1.299694616
*CC(*)S(=O)c1ccc(OC)cc1,3.852598088
*CC(*)CCCCCC,0.044441989
*/C=C/c1cc(OC)c(*)cc1OC,0.366424185
*/C=C/CC(C*)c1ccccc1,0.434931908
*CCOCCOC(=O)CC(=O)O*,1.529240504
*CC(*)C(=O)N(C)c1ccccc1,3.426244179
*CC(*)C(=O)OCCSCC,1.723158507
*CC(*)c1ccc(OC(C)=O)cc1,1.387603842
*CCC/C=C(/*)c1ccc(Cl)cc1,2.28236174
*CC(*)OC(=O)/C=C/c1ccccc1,1.666614096
*CC(*)c1ccccc1C(=O)NC,3.344726862
*CC(*)CCC(C)CC,0.04415655
*/C=C(/*)c1ccccc1C(C)C,0.213239996
*CC(*)CCCC(C)C,0.069909519
*c1[nH]c(*)c2c1-c1ccc(Cl)c3c(Cl)ccc-2c13,6.412367334
*CC(*)C(=O)OCCSCCC#N,5.442699276
*CC(*)CC(C)(C)CC,0.025433804
