SMILES,RHO
*C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc(*)cc7C6=O)cccc45)cc2)C3=O)cc1,1.193491611
*C(=O)OCC(C)(C)CSCC(C)(C)COC(=O)C1(C)CNC(*)(C)CN1,1.016727
*C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.122296
*C(=O)OCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.150002
*C(=O)OCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.158101
*C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.17817
*C(=O)OCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.190187
*C(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.203914
*C(=O)OCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.220577
*C(=O)OCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,1.232975
*C(=O)OCCOC(=O)c1ccc(*)o1,1.302156
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3cccc(N5C(=O)c6ccc(*)cc6C5=O)c3)C4=O)cc2)cc1,1.218589
*C(=O)c1ccc(-c2ccc(*)cc2)cc1,1.099757044
*C(=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(Oc4ccc(-c5nc6cc(*)ccc6nc5-c5ccccc5)cc4)cc3)nc2c1,0.994718
*C(=S)N(*)c1ccccc1,1.21945
*C(C(=O)OC)C(*)C(=O)OC(C)(C)C,0.9411
*C(C)/C=C/C(C)S(*)(=O)=O,1.106311
*C(C)C(*)C(=O)OC,0.976368
*C(C)C(*)C(=O)OC(C)C,0.873417
*C(C)C(*)OC,0.876853
*C(C)C(*)OC(C)(C)C,0.820703
*C(C)C(*)OC(C)C,0.818731
*C(C)C(*)OCC,0.879005
*C(C)C(*)OCC(C)C,0.83574
*C(C)C(*)OCCC,0.847367
*C(C)C(*)OCCCC,0.859824
*C(C)C(*)[N+](=O)[O-],1.192148
*C(Cl)C(*)OCCCC,0.942398
*C(F)(F)C(*)(F)C(F)(F)F,1.501816
*C(F)(F)C(*)(F)C(F)(F)P(=O)(O)O,1.846908
*C(F)(F)C(*)(F)Cl,1.625675
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.010046
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,1.442759
*C(F)(F)C(*)(F)OC(F)(F)F,1.458444
*C(F)(F)C(*)(F)OC(F)C(F)F,1.461574
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,1.332698
*C(F)(F)C(*)(F)c1ccccc1,0.822386
*C(F)(F)C(F)(F)C(F)(F)C(*)(F)C(F)(F)F,1.491927
*C(F)(F)C(F)(F)C1(F)C(*)(F)OC(F)(F)C1(F)F,1.462067
*C(F)(F)C1(*)OC(F)(C(F)(F)F)C(F)(C(F)(F)F)O1,1.607068
*C(F)(F)C1(*)OC(F)(F)C(F)(C(F)(F)F)O1,1.54248
*C(F)(F)C1(*)OC(F)(F)C(F)(F)O1,1.652779
*C(F)(F)C1(F)C(F)(F)C(*)(F)C(F)(F)C1(F)F,0.152425
*C(F)(F)C1(F)C(F)(F)C(*)(F)C1(F)F,0.15068
*C(F)(F)CC(F)(F)C(*)(F)C(F)(F)F,1.639361
*C(F)C(*)(F)F,1.571693
*C(F)C(*)(F)OC(F)(F)F,1.491552
*C(F)C(*)C(F)(F)F,1.519505
*C(O)C(C)C1C(=O)OC(=O)C1*,1.231738
*C(OC(F)(F)F)C(*)(F)F,1.305091
*C([2H])([2H])C(*)(C(=O)OC([2H])([2H])[2H])C([2H])([2H])[2H],0.936555
*C([2H])([2H])C(*)(F)F,1.461918
*C([2H])([2H])C(*)([2H])Cl,1.261057
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],0.953452
*C(c1ccccc1)C(*)(C#N)C#N,0.924185
*C(c1ccccc1)C(*)(C#N)C(=O)OCC,0.921885
*C(c1ccccc1)C(*)[N+](=O)[O-],1.037951
*C(c1ccoc1)C(*)[N+](=O)[O-],1.213778
*C/C=C(\C)CS(*)(=O)=O,1.246575
*C/C=C/CS(*)(=O)=O,1.333105
*C1(F)OC(C(F)(F)F)(C(F)(F)Cl)OC1(*)F,0.234817
*C12CC3CC(C1)CC(*)(C3)C2,0.879095
*C1=NC2=CC(=CC=C2N1)C1=CC2=C(NC(O2)C2=CC=C(OC3=CC=C(OC4=CC=C(*)C=C4)C4=C3C3C5=C(C=CC=C5)C4C4=C3C=CC=C4)C=C2)C=C1,1.110994329
*C1C(*)C2CC1C1C=CCC12,0.831146
*C1C(*)C2CC1C1CCCC21,0.906244
*C1C(=O)N(C(C)(C)C)C(=O)C1*,0.902797
*C1C(=O)N(C(C)CC)C(=O)C1*,0.923777
*C1C(=O)N(C2CCCCC2)C(=O)C1*,0.900885
*C1C(=O)N(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C(=O)C1*,1.157443
*C1C(=O)N(Nc2ccccc2)C(=O)C1*,1.101997
*C1C(=O)N(c2cccc(C(=O)O)c2)C(=O)C1*,1.301356
*C1C(=O)N(c2ccccc2)C(=O)C1*,1.17643
*C1C(=O)N(c2ccccc2C(=O)OC)C(=O)C1*,1.168105
*C1C(=O)N(c2ccccc2C)C(=O)C1*,1.119123
*C1C(=O)N(c2ccccc2OC)C(=O)C1*,1.133752
*C1C(=O)OC(=O)C1*,1.41826
*C1C(=O)OC(=O)C1C(C)(C)C(*)O,1.130983
*C1C2C/C(=C\C)C(C2)C1*,0.820024
*C1C2CC(C)C(C2)C1*,0.811184
*C1C2CCC(C2)C1*,0.83057
*C1C=C(C(*)(C)C)C2CC=CCC12,0.827154
*C1C=C(C)C(*)C1,0.87418
*C1C=C(C)C(*)S1,1.140982
*C1C=C(CCCCCC)C(*)S1,0.969287
*C1C=CC(*)C1,0.944377
*C1C=CC(*)CC1,0.946863
*C1C=CC(*)S1,1.260346
*C1CC2C3CCC(C3)C2C1*,0.730901
*C1CC2CC1C(*)C2CCCC,0.793691
*C1CC2CC1C(*)C2CCCCCC,0.866369
*C1CCC(*)C1,0.897453
*C1CCC1*,0.841819
*C1CCC2C(*)CCC12,0.909766
*C1CCCC(S(*)(=O)=O)C1,1.168125
*C1CCCCC1*,0.845123
*C1CCOC1(*)C,0.985785
*C1CCOC1*,1.045624
*C1CCc2ccccc2C1*,0.922455
*C1Cc2ccccc2C1*,0.950329
