SMILES,TG
*CC(*)c1ccc(C(=O)CCC)cc1,347.15
*CC(*)c1ccc(C(=O)CCCC)cc1,343.15
*CC(*)c1ccc(C(=O)CCCCC)cc1,339.15
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,323.15
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,351.15
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,371.15
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,372.15
*CC(*)c1ccc(F)cc1,368.15
*CC(*)c1ccc(I)cc1,431.15
*CC(*)c1ccc(OC)cc1,381.55
*CC(*)c1ccc(OCC)cc1,359.15
*CC(*)c1ccc(OCCC)cc1,343.15
*CC(*)c1ccc(OCCCC)cc1,325.15
*CC(*)c1ccc(OCCC(C)C)cc1,330.15
*CC(*)c1ccc(Oc2ccccc2)cc1,358.15
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,490.15
*CC(*)c1ccc([Si](C)(C)C)cc1,409.15
*CC(*)c1c(Cl)cccc1Cl,438.15
*CC(*)c1ccc(C)cc1C,385.15
*CC(*)c1ccc(Cl)cc1C,418.15
*CC(*)c1ccc(Cl)cc1Cl,408.15
*CC(*)c1cc(C)ccc1C,416.15
*CC(*)c1cc(C(C)(C)C)ccc1C,360.15
*CC(*)c1cc(Cl)ccc1Cl,381.15
*CC(*)c1cc(Br)ccc1OCCCC,320.15
*CC(*)c1cc(Br)ccc1OCC,353.15
*CC(*)c1cc(Br)ccc1OC,359.15
*CC(*)c1cc(Br)ccc1OCCC,327.15
*CC(*)c1cc(Br)ccc1OC(C)C,308.15
*CC(*)c1cc(Br)ccc1OCCCCC,322.15
*CC(*)c1cc(Br)ccc1OCCC(C)C,310.15
*CC(*)c1cc(C)cc(C)c1,385.15
*CC(*)c1ccc(C)c(C)c1,384.15
*CC(*)c1ccc(Cl)c(C)c1,387.15
*CC(*)c1ccc(Cl)c(Cl)c1,401.15
*CC(*)c1ccc(Cl)c(F)c1,395.15
*CC(*)c1c(C)cc(C)cc1C,399.15
*CC(*)c1cc(C)c(C)cc1C,377.15
*CC(*)(C)c1ccccc1,441.15
*CC(*)(C)c1ccc(C(C)C)cc1,413.15
*C(F)(F)C(*)(F)c1ccccc1,479.15
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,467.15
*CC(*)c1cccc2ccccc12,433.15
*CC(*)c1ccc(C(C)=O)cc1,388.65
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,314.15
*CC(*)(C(=O)OC)c1ccccc1,394.15
*CC(*)(C)c1ccc(C)cc1,449.15
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,368.15
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,376.15
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,357.15
*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1,308.15
*CC(*)c1ccc2ccccc2c1,419.65
*CC(*)c1ccncc1,423.15
*CC(*)c1cccc(C)n1,365.15
*CC(*)c1ccc(C)nc1,409.15
*CC(*)n1cc2ccccc2n1,314.65
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,423.15
*CC(*)c1ccc(O)cc1,431.15
*CC(*)c1ccc(OC(C)=O)cc1,386.15
*CC(*)c1ccc(CCC)cc1,319.9
*CC(*)c1ccc(COCC(CC)CCCC)cc1,250.15
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,231.15
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],370.15
*CC(*)O,349.65
*CC(*)C(C)=O,388.15
*CC(*)C#N,368.15
*CC(*)(C)C#N,361.65
*CC(*)c1ccccn1,373.15
*CC(*)n1c2ccccc2c2ccccc21,498.15
*CC(*)C[Si](C)(C)C,387.15
*CC(*)OC,247.35
*CC(*)OCC,240.15
*CC(*)OCCCC,222.15
*CC(*)OCCCCC,207.15
*CC(*)OCCCCCC,199.15
*CC(*)OCCCCCCCCCC,211.15
*CC(*)OC(C)=O,305.15
*CC(*)OC(=O)CC,285.05
*CC(*)OC(=O)c1ccccc1,343.55
*CC(*)OCC(C)C,251.15
*CC(*)O[N+](=O)[O-],310.65
*/C=C/C(C)C(*)C(=O)OC,326.15
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,200.15
*CC(*)CC[Si](C)(C)C,405.15
*CC(*)OC=O,310.15
*CC(*)OC(C)C,265.65
*CC(*)(C)OC,340.15
*CC(*)OC(C)CC,247.15
*CC(*)OC(=O)C(F)(F)F,328.15
*C1CC(*)(C#N)C1,493.15
*CC(*)Cc1cccc(C)c1,313.15
*CC(*)Cc1ccccc1C,353.15
*CC(*)Cc1ccc(C)cc1,338.15
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,394.15
*/C=C/C(C*)OC,262.65
*CC/C=C(/*)c1ccccc1,312.65
*C(*)O,407.15
*CC(*)OCC(CC)CCCC,207.15
*CC(*)SCCCC,253.15
*CC(*)SCC,266.15
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,263.15
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,302.15
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,213.15
*C(OC(F)(F)F)C(*)(F)F,263.15
*C(F)C(*)(F)OC(F)(F)F,263.15
*C(F)(F)C(*)(F)OC(F)(F)F,268.15
*CC(*)OCC(C)(C)CC,282.15
*CC(*)SC,272.15
*CC(*)OCCCCCCCC,193.65
*CC(*)(F)C(C)=O,415.15
*CC(*)C(=O)c1ccccc1,345.9
*CC(*)C(=O)c1ccc(Br)c(OC)c1,317.15
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,376.65
*CC(*)C(=O)c1ccc(Cl)cc1,336.15
*CC(*)C(=O)c1ccc(CC)cc1,322.4
*CC(*)C(=O)c1ccc(C(C)C)cc1,335.65
*CC(*)C(=O)c1ccc(OC)cc1,319.15
*CC(*)C(=O)c1ccc(C)c(C)c1,315.15
*CC(*)C(=O)c1ccc(CCC)cc1,317.15
*CC(*)C(=O)c1ccc(C)cc1,332.65
*CC(*)OC(=O)c1ccccc1OC(C)=O,332.65
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,349.15
*CC(*)OC(=O)CCCC(=O)c1ccccc1,318.15
*CC(*)OC(=O)c1cccc(Br)c1,330.65
*CC(*)OC(=O)c1ccc(Br)cc1,358.65
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,334.15
*CC(*)OC(=O)c1ccccc1Cl,328.9
*CC(*)OC(=O)c1cccc(Cl)c1,334.9
*CC(*)OC(=O)c1ccc(Cl)cc1,343.4
*CC(*)OC(=O)C1CCCCC1,339.15
*CC(*)OC(=O)CC1CCCCC1,298.15
*CC(*)OC(=O)CCCC1CCCCC1,263.15
*CC(*)OC(=O)c1ccc(OCC)cc1,343.15
*CC(*)OC(=O)c1ccc(CC)cc1,330.15
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,393.15
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,300.15
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,327.15
*CC(*)NC(=O)OC(C)(C)C,393.15
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,255.15
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,264.15
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,263.15
*CC(*)OC(=O)C(F)(F)C(F)(F)F,315.15
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,293.15
*CC(*)OC(=O)c1ccncc1,371.65
*CC(*)OC(=O)c1ccc(C(C)C)cc1,340.85
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,393.15
*CC(*)OC(=O)c1ccccc1OC,338.15
*CC(*)OC(=O)c1cccc(OC)c1,317.15
*CC(*)OC(=O)c1ccc(OC)cc1,359.65
*CC(*)OC(=O)c1ccccc1C,315.65
*CC(*)OC(=O)c1cccc(C)c1,322.15
*CC(*)OC(=O)c1ccc(C)cc1,346.65
*CC(*)OC(=O)CC(C)(C)c1ccccc1,293.15
*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1,353.15
*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,403.65
*CC(*)OC(=O)C(C)(C)CCC,283.15
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,363.15
